timestamp,cash,holdings_value,equity,realized_pnl,unrealized_pnl,drawdown
2018-01-02,100000.0,0.0,100000.0,0.0,0.0,0.0
2018-01-03,100000.0,0.0,100000.0,0.0,0.0,0.0
2018-01-04,100000.0,0.0,100000.0,0.0,0.0,0.0
2018-01-05,100000.0,0.0,100000.0,0.0,0.0,0.0
2018-01-08,100000.0,0.0,100000.0,0.0,0.0,0.0
2018-01-09,100000.0,0.0,100000.0,0.0,0.0,0.0
2018-01-10,100000.0,0.0,100000.0,0.0,0.0,0.0
2018-01-11,100000.0,0.0,100000.0,0.0,0.0,0.0
2018-01-12,100000.0,0.0,100000.0,0.0,0.0,0.0
2018-01-15,100000.0,0.0,100000.0,0.0,0.0,0.0
2018-01-16,100000.0,0.0,100000.0,0.0,0.0,0.0
2018-01-17,100000.0,0.0,100000.0,0.0,0.0,0.0
2018-01-18,100000.0,0.0,100000.0,0.0,0.0,0.0
2018-01-19,100000.0,0.0,100000.0,0.0,0.0,0.0
2018-01-22,95029.82652828655,4823.2179,99853.04442828655,0.0,-141.99036345,-0.001469555717134499
2018-01-23,95029.82652828655,4758.3288,99788.15532828655,0.0,-206.87946345000003,-0.0021184467171345023
2018-01-24,95029.82652828655,4838.4243,99868.25082828655,0.0,-126.78396345000013,-0.001317491717134544
2018-01-25,95029.82652828655,4798.575,99828.40152828654,0.0,-166.63326345000002,-0.001715984717134561
2018-01-26,95029.82652828655,4960.4535,99990.28002828655,0.0,-4.754763450000212,-9.719971713449922e-05
2018-01-29,95029.82652828655,4926.2094,99956.03592828655,0.0,-38.99886344999973,-0.0004396407171344617
2018-01-30,95029.82652828655,4930.3269,99960.15342828655,0.0,-34.88136344999964,-0.0003984657171345316
2018-01-31,95029.82652828655,5201.558099999999,100231.38462828654,0.0,236.3498365499998,0.0
2018-02-01,95029.82652828655,5300.7021,100330.52862828654,0.0,335.4938365500005,0.0
2018-02-02,95029.82652828655,5208.6969,100238.52342828654,0.0,243.48863655000042,-0.0009170209831233785
2018-02-05,95029.82652828655,5175.7812,100205.60772828654,0.0,210.5729365500005,-0.0012450936091726915
2018-02-06,95029.82652828655,5273.5968,100303.42332828655,0.0,308.38853655,-0.00027016004371329235
2018-02-07,95029.82652828655,5639.2551,100669.08162828654,0.0,674.0468365500001,0.0
